Faculty_Full_Name,Rank,Professor_Type,Faculty_Author_Affiliation,pmids,pub_mesh_terms
"Kawas, Claudia",prof,research,"Kawas, Claudia[Author] AND Irvine[Affiliation] OR Kawas, C[Author] AND Irvine[Affiliation]","['40340138', '40293530', '39807681', '39777966', '39666918', '39535349', '39504937', '39352226', '39254234', '39159436', '39055052', '39008782', '38896163', '38626853', '38602280', '38175995', '37742640', '37540023', '37522210', '37398389']","Humans; Male; Female; Aged; Frontotemporal Lobar Degeneration; TDP-43 Proteinopathies; Diagnosis, Differential; Aged, 80 and over; DNA-Binding Proteins; Middle Aged; Brain; Inclusion Bodies; Dementia; Humans; TDP-43 Proteinopathies; Alzheimer Disease; Limbic System; Hippocampus; Dementia; Humans; Male; Female; Aged, 80 and over; Autopsy; Risk Factors; Cerebrovascular Disorders; Humans; Female; Alzheimer Disease; Male; Aged, 80 and over; Neurofibrillary Tangles; Retrospective Studies; Longitudinal Studies; Plaque, Amyloid; Angiotensin-Converting Enzyme Inhibitors; Adrenergic beta-Antagonists; Cataract; Brain; Medical History Taking; Apolipoproteins E; Humans; Female; Male; Aged, 80 and over; Positron-Emission Tomography; Case-Control Studies; Magnetic Resonance Imaging; Amyloidosis; Cognitive Dysfunction; Cerebrovascular Circulation; Brain; Ethylene Glycols; Humans; Aged, 80 and over; Male; Female; Cognition; Longitudinal Studies; Hand Strength; Brain; Walking Speed; Cognitive Dysfunction; Neuropsychological Tests; Physical Functional Performance; Aging; Humans; Female; Male; Aged; Alzheimer Disease; Aged, 80 and over; Hippocampus; Lewy Bodies; DNA-Binding Proteins; Atrophy; TDP-43 Proteinopathies; Disease Progression; Dementia; Humans; Female; Male; Educational Status; Aged, 80 and over; Longitudinal Studies; Cognition; Executive Function; Neuropsychological Tests; Sex Factors; Humans; Male; Female; Aged, 80 and over; Walking Speed; Reference Values; Ethnicity; Geriatric Assessment; Cohort Studies; Racial Groups; Self-Help Devices; Humans; Female; Male; White Matter; Hippocampus; Aged, 80 and over; Longitudinal Studies; Magnetic Resonance Imaging; Cognitive Dysfunction; Positron-Emission Tomography; Cognition; Cohort Studies; Organ Size; Ethylene Glycols; Aniline Compounds; Amyloid beta-Peptides; Amyloid; Humans; Female; Aged; Male; Alzheimer Disease; DNA-Binding Proteins; TDP-43 Proteinopathies; Aged, 80 and over; Databases, Factual; Frontotemporal Lobar Degeneration; Brain; Amyotrophic Lateral Sclerosis; Hippocampus; Middle Aged; Alzheimer Disease; Extracellular Vesicles; Cell Separation; Cerebral Cortex; Humans; Cryopreservation; Autopsy; RNA-Seq; Neuroglia; Neurons; Humans; Aged, 80 and over; Female; Male; Sleep; Brain; Aged; Autopsy; Self Report; Amyloid beta-Peptides; Aging; Sleep Duration; Nervous System Diseases; Aged, 80 and over; TDP-43 Proteinopathies; Centenarians; Dementia; Brain; Alzheimer Disease; Nonagenarians; Humans; TDP-43 Proteinopathies; Alzheimer Disease; Aged, 80 and over; Syncope; Dementia; Aged; Lewy Body Disease; Tauopathies; Humans; DNA-Binding Proteins; Male; Humans; Female; Aged; Aged, 80 and over; Self Report; Sleep; Risk Factors; Sleep Duration; Dementia; Humans; Alzheimer Disease; Brain; Cognitive Dysfunction; Lewy Body Disease; DNA-Binding Proteins"
"Kim, Seungsoo",asst prof,research,"Kim, Seungsoo[Author] AND Irvine[Affiliation] OR Kim, S[Author] AND Irvine[Affiliation] OR 0000-0002-5559-5289[Author - Identifier]","['40480970', '40475372', '40470836', '40466634', '40461469', '40442306', '40317868', '40187255', '40180953', '40175382', '40172501', '40167411', '40128256', '40113637', '40100100', '40097783', '40070010', '40059853', '40014725', '39964977']","Machine Learning; California; Water Pollutants, Chemical; Environmental Monitoring; Wastewater; Fluorocarbons; Waste Disposal, Fluid; Humans; Blepharoptosis; Ophthalmology; United States; Academies and Institutes; Ophthalmic Solutions; Phenylephrine; Humans; Adult; Oncologists; Female; Adolescent; Neoplasms; Young Adult; Male; Qualitative Research; Fertility Preservation; Physician-Patient Relations; United States; California; Cancer Care Facilities; Interviews as Topic; Attitude of Health Personnel; Fertility; National Cancer Institute (U.S.); Humans; Female; Antibodies, Monoclonal, Humanized; Trastuzumab; Receptor, ErbB-2; Stomach Neoplasms; Antineoplastic Combined Chemotherapy Protocols; Middle Aged; Aged; Fluorouracil; Male; Adult; Platinum; Biomarkers, Tumor; B7-H1 Antigen; Animals; Animals, Domestic; Genotype; Humans; Transcriptome; Genomics; Phenotype"
"Kong, Mei",prof,research,"Kong, Mei[Author] AND Irvine[Affiliation] OR Kong, M[Author] AND Irvine[Affiliation]","['39937480', '39546568', '38095719', '37761958', '37682999', '37149550', '36914647', '36821510', '36091163']","Humans; Female; Male; Qualitative Research; Middle Aged; Communication Barriers; Language; Aged; California; Adult; Patient Preference; Videoconferencing; RNA, Long Noncoding; Female; Humans; Ovarian Neoplasms; Neoplastic Stem Cells; Cell Plasticity; Cell Line, Tumor; Gene Expression Regulation, Neoplastic; Humans; RNA, Long Noncoding; Sex Characteristics; Neoplasms; Female; Male; Epigenesis, Genetic; Animals; Gene Expression Regulation, Neoplastic; Sex Chromosomes; Animals; Mice; Cachexia; Colonic Neoplasms; Disease Models, Animal; Glutamine; Histone Code; Histone Methyltransferases; Histones; Ketoglutaric Acids; Tumor Microenvironment; Humans; Cell Line, Tumor; TWEAK Receptor; Humans; Vitamin B 6; Proteolysis; Peptide Hydrolases; Micronutrients; Vitamins; Humans; Peritoneal Neoplasms; Adenocarcinoma, Mucinous; Appendiceal Neoplasms; Pseudomyxoma Peritonei; Adenocarcinoma; Metabolic Networks and Pathways; Animals; Male; Mice; AMP-Activated Protein Kinases; Diet, High-Fat; Homeostasis; Mice, Inbred C57BL; Mice, Knockout; Phosphoprotein Phosphatases; Humans; Immunoglobulin G4-Related Disease; Autoimmune Diseases; Positron Emission Tomography Computed Tomography; Immunoglobulin G; Pancreas"
"Konieczny, Piotr",asst prof,research,"Konieczny, Piotr[Author] AND Irvine[Affiliation] OR Konieczny, P[Author] AND Irvine[Affiliation]",[],
"Kvon, Evgeny",asst prof,research,"Kvon, Evgeny[Author] AND Irvine[Affiliation] OR Kvon, E[Author] AND Irvine[Affiliation]","['40461788', '40205063', '39829783', '39762235', '39579740', '39143221', '38826394', '38658750', '38509385', '38105996', '36201590']","Humans; Transcription Factors; DNA; Nucleotide Motifs; Protein Binding; Genetic Code; Binding Sites; SELEX Aptamer Technique; Gene Expression Regulation; Animals; Enhancer Elements, Genetic; Mice; Humans; Otx Transcription Factors; MicroRNAs; Single-Cell Analysis; Autism Spectrum Disorder; Craniofacial Abnormalities; Genes, Reporter; Female; CRISPR-Cas Systems; Genetic Variation; Brain; Male; Alleles; Enhancer Elements, Genetic; Animals; Promoter Regions, Genetic; Humans; Mammals; Gene Expression Regulation, Developmental; Transcription Factors; Cohesins; CCCTC-Binding Factor; Chromatin; Chromosomal Proteins, Non-Histone; Cell Cycle Proteins; Animals; Humans; Africa; Animal Fins; Australia; DNA Transposable Elements; DNA, Intergenic; Enhancer Elements, Genetic; Evolution, Molecular; Extinction, Biological; Fishes; Gene Rearrangement; Genome; Genome Size; Hedgehog Proteins; Introns; Karyotype; Phylogeny; Piwi-Interacting RNA; South America; Time Factors; Zinc Fingers; Animals; Female; Male; Mice; Epigenomics; Evolution, Molecular; Gene Expression Profiling; Gene Expression Regulation, Developmental; Genome; Genomics; Homeodomain Proteins; Locomotion; Marsupialia; Phylogeny; Regulatory Sequences, Nucleic Acid; Transcription Factors; Phenotype; Humans; Animals; Mice; Enhancer Elements, Genetic; Promoter Regions, Genetic; Transcriptional Activation; Mammals; Chromatin; Animals; Brain Neoplasms; Chromosomes, Human, Pair 8; Glioma; Humans; Isocitrate Dehydrogenase; Mice; Mutation; Polymorphism, Single Nucleotide"
"LaFerla, Frank",prof,research,"LaFerla, Frank[Author] AND Irvine[Affiliation] OR LaFerla, F[Author] AND Irvine[Affiliation]","['40475700', '40364523', '40214496', '39844286', '39633006', '38906984', '38895362', '38575959', '38572865', '38523285', '38506634', '38460121', '38426371', '37961253', '37047718', '36803190', '36271704', '35140584']","CRISPR-Cas Systems; Humans; Endoribonucleases; Gene Expression Regulation; CRISPR-Associated Proteins; HEK293 Cells; Gene Editing; Animals; Microglia; Mice; Alzheimer Disease; Plaque, Amyloid; tau Proteins; Mice, Transgenic; Disease Models, Animal; Tauopathies; Brain; Apolipoproteins E; Humans; Humans; Alzheimer Disease; Genome-Wide Association Study; Female; Chromosomes, Human, X; Male; Genetic Predisposition to Disease; Polymorphism, Single Nucleotide; Aged; X Chromosome Inactivation; Aged, 80 and over; Case-Control Studies; Animals; Female; Humans; Male; Mice; Alzheimer Disease; Amyloid beta-Peptides; Astrocytes; Brain; Disease Models, Animal; Glial Fibrillary Acidic Protein; NF-kappa B; Signal Transduction; Aged; Animals; Humans; Mice; Alzheimer Disease; Amyloid beta-Peptides; Amyloid beta-Protein Precursor; Cathepsin D; Disease Models, Animal; Mice, Knockout; Mice, Transgenic; tau Proteins; Tauopathies; Animals; Female; Humans; Male; Mice; Alzheimer Disease; Amyloid beta-Peptides; Disease Models, Animal; Gastrointestinal Microbiome; Gene Knock-In Techniques; Genotype; Metabolomics; Mice, Transgenic; Microbiota; Sex Characteristics; Animals; Mice; ATP-Binding Cassette Transporters; Plaque, Amyloid; Amyloid beta-Peptides; Alzheimer Disease; Mice, Transgenic; Neurons; Disease Models, Animal; Humans; Brain; Microglia; Phagocytosis; Amyloid beta-Protein Precursor; Animals; Mice; Alzheimer Disease; Amyloid beta-Peptides; Disease Models, Animal; Mice, Transgenic; Neuroglia; Plaque, Amyloid; Humans; Mice; Humans; Female; Animals; Alzheimer Disease; Plaque, Amyloid; Resilience, Psychological; Mice, Inbred C57BL; Microglia; Genetic Variation; Disease Models, Animal; Mice, Transgenic; Amyloid beta-Peptides; Animals; Mice; Cathepsin D; Down-Regulation; Fibroblasts; Tetracycline; Doxycycline; Response Elements; Mice; Animals; Alzheimer Disease; Cuprizone; RNA Splicing; Mutation; Plaque, Amyloid; Disease Models, Animal; Demyelinating Diseases; Microglia; Brain; Membrane Glycoproteins; Receptors, Immunologic; Humans; Animals; Mice; Amyloid beta-Peptides; Astrocytes; Myeloid Differentiation Factor 88; Proteomics; Alzheimer Disease"
"Lamb, Joleah",asst prof,research,"Lamb, Joleah[Author] AND Irvine[Affiliation] OR Lamb, J[Author] AND Irvine[Affiliation]","['39964725', '39754287', '39680762', '38912782', '36746662']",Ecosystem; Aquaculture; Seaweed; Indonesia; Biodiversity; Conservation of Natural Resources; Macrocystis; Kelp; Conservation of Natural Resources; Humans; Ecosystem; Refugees
"Lander, Arthur",prof,research,"Lander, Arthur[Author] AND Irvine[Affiliation] OR Lander, A[Author] AND Irvine[Affiliation]","['40251197', '39989423', '39508736', '39463971', '39294560', '39048795', '38906093', '38507484', '38328163', '37380661', '37214859', '37115622', '37080161', '36993765', '36449618', '35614082', '35132245']","Animals; Epithelial Cells; Cell Competition; Drosophila melanogaster; Signal Transduction; Drosophila Proteins; Immunity, Innate; Neoplasms; Animals; Cell Proliferation; Mice; Face; Morphogenesis; Imaging, Three-Dimensional; Machine Learning; Embryo, Mammalian; Animals; Wings, Animal; Hedgehog Proteins; Drosophila Proteins; Body Patterning; Signal Transduction; Gene Expression Regulation, Developmental; Drosophila; Drosophila melanogaster; Models, Theoretical; Single-Cell Analysis; Humans; Sequence Analysis, RNA; Transcriptome; Algorithms; Gene Expression Profiling; Gene Regulatory Networks; Cohesins; Cell Cycle Proteins; Chromosomal Proteins, Non-Histone; Chromatin; Gene Expression Regulation; Promoter Regions, Genetic; Single-Cell Analysis; Saccharomyces cerevisiae; Transcriptome; Animals; Humans; Body Patterning; Embryonic Development; Homeostasis; Organoids; Aging; Animals; Mice; Cell Cycle Proteins; De Lange Syndrome; Gastrulation; Gene Expression; Mutation; Phenotype; Mice; Animals; Tyrosine Kinase Inhibitors; Protein Kinase Inhibitors; Drug Resistance, Neoplasm; Myelopoiesis; Fusion Proteins, bcr-abl; Mice, Transgenic; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Humans; Mass Behavior; Neoplasms; Communication; Humans; Female; Pregnancy; Animals; Mice; Transcriptome; Brain; Phenotype; Mutation; Heterozygote; Mammals; Cell Cycle Proteins; Proteins; Animals; Brain; Databases, Factual; Mice; X-Ray Microtomography; Animals; Animals, Genetically Modified; CHO Cells; Cricetulus; Green Fluorescent Proteins; HEK293 Cells; Humans; Metronidazole; Nitroreductases; Prodrugs; Protein Engineering; Recombinant Proteins; Retina; Vibrio; Zebrafish"
"Lane, Thomas",prof,research,"Lane, Thomas[Author] AND Irvine[Affiliation] OR Lane, T[Author] AND Irvine[Affiliation]","['40466634', '40445428', '40299553', '39988890', '38879499', '38714735', '38500398', '38099152', '37850241', '37352687', '37083696', '36248905', '35961320', '35025109']","Humans; Down Syndrome; COVID-19; Female; Male; SARS-CoV-2; Cerebral Cortex; Aneuploidy; Cells, Cultured; Serine Endopeptidases; Animals; Microglia; Integrases; Mice; Mice, Transgenic; Alzheimer Disease; Disease Models, Animal; Brain; Mice, Inbred C57BL; Plaque, Amyloid; Male; Female; Animals; Mice; Demyelinating Diseases; Murine hepatitis virus; Cystatins; Mice, Knockout; Coronavirus Infections; Mice, Inbred C57BL; Neuroinflammatory Diseases; Oxidation-Reduction; Disulfides; SARS-CoV-2; Coronavirus 3C Proteases; Cysteine; Crystallography, X-Ray; Catalytic Domain; Humans; Models, Molecular; Protein Multimerization; COVID-19; Animals; Muscle, Skeletal; Male; Adiposity; Mice; Mice, Inbred C57BL; Aging; Secretome; Stem Cells; Humans; COVID-19; Alzheimer Disease; Brain; SARS-CoV-2; Risk Factors; Pandemics; Mice; Animals; Microglia; Murine hepatitis virus; Remyelination; Neuroinflammatory Diseases; White Matter; Demyelinating Diseases; Coronavirus Infections; Mice, Inbred C57BL; Humans; Mice; Animals; T-Lymphocytes, Regulatory; CD4-Positive T-Lymphocytes; Multiple Sclerosis; Lymphocyte Activation; Neural Stem Cells; Forkhead Transcription Factors; CD4 Antigens; Animals; Central Nervous System; Chemokine CXCL1; Demyelinating Diseases; Humans; Matrix Metalloproteinase 9; Mice; Mice, Transgenic; Multiple Sclerosis; Murine hepatitis virus; Neutrophils; RNA, Messenger; Tetracyclines; White Matter; Activin Receptors; Animals; Central Nervous System; Encephalomyelitis, Autoimmune, Experimental; Mice; Mice, Inbred C57BL; Monomeric GTP-Binding Proteins; Multiple Sclerosis; Neuroinflammatory Diseases; Receptor Protein-Tyrosine Kinases; Signal Transduction; Animals; Bone Marrow Transplantation; Brain; Coronavirus Infections; Macrophages; Mice; Mice, Inbred C57BL; Microglia"
"Lara-Gonzalez, Pablo",asst prof,research,"Lara-Gonzalez, Pablo[Author] AND Irvine[Affiliation] OR Lara-Gonzalez, P[Author] AND Irvine[Affiliation]","['39554051', '39105756', '38578284', '38370671', '37609212', '37137308', '36669109']","Animals; Caenorhabditis elegans; Caenorhabditis elegans Proteins; CDC2 Protein Kinase; Cdc20 Proteins; Cyclin B; Cyclin B1; Cyclin B2; Embryo, Nonmammalian; Mitosis; Phosphorylation; Animals; Caenorhabditis elegans; Caenorhabditis elegans Proteins; Cell Cycle Checkpoints; Cell Cycle Proteins; Kinetochores; Microtubule-Associated Proteins; Spindle Apparatus; Tetratricopeptide Repeat; Protein Serine-Threonine Kinases; Animals; Anaphase-Promoting Complex-Cyclosome; Caenorhabditis elegans; Cdc20 Proteins; Cell Cycle Proteins; Centers for Disease Control and Prevention, U.S.; Kinetochores; Mitosis; Spindle Apparatus; United States; Animals; Humans; Mice; Ependymoglial Cells; Mice, Knockout; Neocortex"
"Lee, Grace",asst prof,research,"Lee, Grace[Author] AND Irvine[Affiliation] OR Lee, G[Author] AND Irvine[Affiliation]","['40454301', '40436017', '40315855', '40301993', '40267913', '40194539', '39875819', '39843629', '39762660', '39678326', '39642225', '39571580', '39540935', '39424777', '39421451', '39027368', '38959339', '38848689', '38745885', '38713722']","Humans; Male; Middle Aged; Female; Osteoporosis; Fabry Disease; Absorptiometry, Photon; Bone Diseases, Metabolic; Bone Density; Adult; Aged; Femur Neck; Animals; Fructose; Male; Mice; Female; Fatty Liver; Mice, Inbred C57BL; Liver; Biomarkers; Lipogenesis; Non-alcoholic Fatty Liver Disease; Humans; Orbital Implants; Ophthalmologic Surgical Procedures; Neoplasms; Eye Neoplasms; Animals; Fatty Acid-Binding Proteins; COVID-19; SARS-CoV-2; Humans; Virus Replication; Cricetinae; Lung; Adipocytes; COVID-19 Drug Treatment; Mice; Huntington Disease; Animals; Humans; DNA-Binding Proteins; Mice; Huntingtin Protein; Methyltransferases; Alternative Splicing; Mice, Transgenic; RNA Splicing; Brain; Adenosine; Male; RNA Methylation; Caenorhabditis elegans; Mechanistic Target of Rapamycin Complex 1; Animals; Caenorhabditis elegans Proteins; RNA, Messenger; RNA Splicing; TOR Serine-Threonine Kinases; Multiprotein Complexes; Humans; Nutrients; Longevity; Signal Transduction; Alternative Splicing; Ribosomal Protein S6 Kinases, 70-kDa; Receptor-Interacting Protein Serine-Threonine Kinases; Humans; Nuclear Proteins; Repressor Proteins; Ubiquitination; Phosphorylation; Lipopolysaccharides; Colonic Neoplasms; Necroptosis; HEK293 Cells; Cell Line, Tumor; Cell Death; Protein Stability; Protein Binding; Serine; Cadherins; Female; Humans; Breast Neoplasms; Animals; Mice; Disease Progression; Cell Proliferation; Cell Line, Tumor; Epithelial-Mesenchymal Transition; Phosphoglycerate Dehydrogenase; Neoplasm Metastasis; Antigens, CD; Cell Movement; Oxidative Stress; Mice, Nude; Mechanistic Target of Rapamycin Complex 1; Humans; Signal Transduction; Proteasome Endopeptidase Complex; Ubiquitin-Protein Ligases; Proteolysis; TOR Serine-Threonine Kinases; Multiprotein Complexes; Animals; Mevalonic Acid; Ubiquitin; Animals; Gastrointestinal Microbiome; Bile Acids and Salts; Dysbiosis; Mice; Transcriptome; Anti-Bacterial Agents; Adenosine; Disease Models, Animal; Mice, Inbred C57BL; Male"
"Lodoen, Melissa",prof,research,"Lodoen, Melissa[Author] AND Irvine[Affiliation] OR Lodoen, M[Author] AND Irvine[Affiliation]","['39814722', '39780244', '39255396', '38372637', '38206985', '37770433', '37633758', '36791673', '36445695']","Toxoplasma; Animals; Humans; Virulence Factors; Protozoan Proteins; Mice; Female; Macrophages; Toxoplasmosis; THP-1 Cells; Cell Death; Receptor-Interacting Protein Serine-Threonine Kinases; Virulence; NF-kappa B; Necroptosis; Interleukin-1beta; Mice, Inbred C57BL; Host-Parasite Interactions; Transcription Factor RelA; Animals; Mice; Blood-Brain Barrier; Cerebrovascular Circulation; Toxoplasma; Mice, Inbred C57BL; Blood Coagulation; Endothelial Cells; Toxoplasmosis; Female; Disease Models, Animal; Intercellular Adhesion Molecule-1; Animals; Alzheimer Disease; Mice; Brain; Disease Models, Animal; Mice, Transgenic; Toxoplasma; Amyloid beta-Peptides; Plaque, Amyloid; Toxoplasmosis; Female; Humans; Caspase 1; Caspase 8; Gasdermins; Inflammasomes; Interleukin-1beta; Monocytes; NLR Family, Pyrin Domain-Containing 3 Protein; Toxoplasma; Toxoplasmosis; Animals; Humans; Mice; Astrocytes; Brain; Chemokine CCL2; Mice, Inbred C57BL; Mice, Knockout; Toxoplasma; Toxoplasmosis; Female; Animals; Mice; Toxoplasma; Gene Regulatory Networks; Neoplasm Recurrence, Local; Brain; Protozoan Proteins; Humans; Monocytes; Toxoplasma; Cytokines; Toxoplasmosis; Humans; Toxoplasma; Capparis; Caspases; Signal Transduction; Inflammation; Protozoan Proteins; Mice; Animals; Toxoplasma; CD8-Positive T-Lymphocytes; Brain; Central Nervous System; Monocytes"
"Long, Anthony",prof,research,"Long, Anthony[Author] AND Irvine[Affiliation] OR Long, A[Author] AND Irvine[Affiliation]","['40457395', '37624016', '37146087', '36366952', '36250804', '35143664', '35100395']","Animals; Seasons; DNA Methylation; Female; Peromyscus; Male; Photoperiod; Reproduction; Breeding; CpG Islands; Male; Animals; Female; Chromatin; Drosophila melanogaster; Chromatin Immunoprecipitation Sequencing; Genotype; Genetic Variation; High-Throughput Nucleotide Sequencing; Saccharomyces cerevisiae; Adaptation, Biological; Haplotypes; Genetics, Population; Reproduction, Asexual; Genome, Fungal; Multifactorial Inheritance; Animals; Drosophila melanogaster; Quantitative Trait Loci; Malathion; Genome-Wide Association Study; Insecticides; Insecticide Resistance; Animals; Breeding; Deer; Genome-Wide Association Study; Humans; Multifactorial Inheritance; Peromyscus; Phenotype; Polymorphism, Single Nucleotide; Animals; Chromosome Mapping; Drosophila; Drosophila melanogaster; Phenotype; Quantitative Trait Loci"
"Luo, Ray",prof,research,"Luo, Ray[Author] AND Irvine[Affiliation] OR Luo, R[Author] AND Irvine[Affiliation]","['40459213', '40413581', '40194962', '40158646', '40108759', '39865620', '39772516', '39572544', '39138383', '38892388', '38885779', '38615193', '38512104', '38502776', '38394331', '38236703', '37967076', '37805934', '37782231', '37676646']","Static Electricity; Solvents; Dimerization; Normal Distribution; Solutions; Humans; Protein Serine-Threonine Kinases; Hippo Signaling Pathway; Neoplasms; Signal Transduction; Mutation, Missense; Neurofibromin 2; Loss of Function Mutation; Cell Line, Tumor; Animals; Head and Neck Neoplasms; Mutation; Mice; Adaptor Proteins, Signal Transducing; Oxidation-Reduction; NADP; Escherichia coli; NAD; Nicotinamide Mononucleotide; Oxidoreductases; Glucose 1-Dehydrogenase; Models, Molecular; Biocatalysis; Humans; Allosteric Regulation; Allosteric Site; Antineoplastic Agents; Binding Sites; Molecular Dynamics Simulation; Mutation; Neoplasms; Protein Binding; Protein Tyrosine Phosphatase, Non-Receptor Type 11; Animals; Peptides; RNA, Messenger; mRNA Vaccines; Green Fluorescent Proteins; Viral Vaccines; Mice; Female; Cats; Drug Delivery Systems; Intrinsically Disordered Proteins; Protein Conformation; Models, Molecular; Polymers; Adenosine Triphosphate; Phase Separation; Artificial Cells; Bioreactors; Entropy; Amino Acids; Static Electricity; Proteins; Models, Molecular; Peptides; Amines; Hydrogels; Dendritic Cells; Immunity, Cellular; Peptides; T-Lymphocytes; Humans; Gas Chromatography-Mass Spectrometry; Carcinoma, Hepatocellular; Lung Neoplasms; Volatile Organic Compounds; Liver Neoplasms; Early Detection of Cancer; Biomarkers; Liver Cirrhosis"
"Lur, Gyorgy",assoc prof,research,"Lur, Gyorgy[Author] AND Irvine[Affiliation] OR Lur, G[Author] AND Irvine[Affiliation]","['39100726', '37821229', '37356230', '37293628', '37286343', '36374738', '36087582', '35027407']","Male; Adolescent; Female; Humans; Nicotine; Nicotinic Agonists; Habenula; Electronic Nicotine Delivery Systems; Synaptic Transmission; Cholinergic Neurons; Receptors, Purinergic P2; Adenosine Triphosphate; Animals; Mice; Software; Neurosciences; Reward; Rats; Animals; Calcium; Magnetic Fields; Nanoparticles; Neurons; Feedback; Pyramidal Cells; Action Potentials; Synapses; Parietal Lobe; Animals; Brain; Cognition; Humans; Mice; Movement; Neurons; Psychomotor Performance; Wakefulness"
"Lutterschmidt, Deborah",prof,research,"Lutterschmidt, Deborah[Author] AND Irvine[Affiliation] OR Lutterschmidt, D[Author] AND Irvine[Affiliation]",['36805608'],Brain; Seasons; Animals
"MacGregor, Grant",prof,research,"MacGregor, Grant[Author] AND Irvine[Affiliation] OR MacGregor, G[Author] AND Irvine[Affiliation]","['39988890', '39844286', '39752523', '39103533', '39071335', '38895362', '38879499', '38572865', '38506634', '38460121', '38426371', '38106071', '37891673', '36803190', '35140584']","Animals; Microglia; Integrases; Mice; Mice, Transgenic; Alzheimer Disease; Disease Models, Animal; Brain; Mice, Inbred C57BL; Plaque, Amyloid; Male; Female; Animals; Microglia; Mice; Alzheimer Disease; Plaque, Amyloid; tau Proteins; Mice, Transgenic; Disease Models, Animal; Tauopathies; Brain; Apolipoproteins E; Humans; Animals; Mice; Reactive Oxygen Species; T-Lymphocytes, Regulatory; DNA, Mitochondrial; Mice, Inbred C57BL; Oxidative Phosphorylation; Mitochondria; Signal Transduction; Disease Progression; Heart Transplantation; Animals; Alzheimer Disease; Receptors, Immunologic; Mice; Membrane Glycoproteins; Mice, Transgenic; Neurons; Transcriptome; Microglia; Brain; Disease Models, Animal; Plaque, Amyloid; Mutation; Astrocytes; Single-Cell Analysis; Humans; Mutation, Missense; Receptor, trkB; Brain-Derived Neurotrophic Factor; Gene Expression Profiling; Male; Animals; Mice; Demyelinating Diseases; Murine hepatitis virus; Cystatins; Mice, Knockout; Coronavirus Infections; Mice, Inbred C57BL; Neuroinflammatory Diseases; Animals; Female; Humans; Male; Mice; Alzheimer Disease; Amyloid beta-Peptides; Disease Models, Animal; Gastrointestinal Microbiome; Gene Knock-In Techniques; Genotype; Metabolomics; Mice, Transgenic; Microbiota; Sex Characteristics; Animals; Mice; ATP-Binding Cassette Transporters; Plaque, Amyloid; Amyloid beta-Peptides; Alzheimer Disease; Mice, Transgenic; Neurons; Disease Models, Animal; Humans; Brain; Microglia; Phagocytosis; Amyloid beta-Protein Precursor; Animals; Mice; Alzheimer Disease; Amyloid beta-Peptides; Disease Models, Animal; Mice, Transgenic; Neuroglia; Plaque, Amyloid; Humans; Mice; Humans; Female; Animals; Alzheimer Disease; Plaque, Amyloid; Resilience, Psychological; Mice, Inbred C57BL; Microglia; Genetic Variation; Disease Models, Animal; Mice, Transgenic; Amyloid beta-Peptides; Animals; Mice; Adenosine Triphosphate; Diabetes Mellitus; Diabetic Cardiomyopathies; Energy Metabolism; Insulin; Mice, Transgenic; Mitochondria, Heart; Myocardium; Phosphatidylinositol 3-Kinases; Proto-Oncogene Proteins c-akt; Mice; Animals; Alzheimer Disease; Cuprizone; RNA Splicing; Mutation; Plaque, Amyloid; Disease Models, Animal; Demyelinating Diseases; Microglia; Brain; Membrane Glycoproteins; Receptors, Immunologic"
"Mahler, Stephen",prof,research,"Mahler, Stephen[Author] AND Irvine[Affiliation] OR Mahler, S[Author] AND Irvine[Affiliation]","['40199197', '40127192', '39658631', '39190156', '38826339', '37530882', '37034819', '36933028', '36912754', '36841826', '36481259', '36367975', '36156918', '35705547', '35353551', '35156184']","Microglia; Humans; Substance-Related Disorders; Animals; Adolescent; Brain; Adolescent Development; Neuronal Plasticity; Animals; Dronabinol; Morphine; Male; Ventral Tegmental Area; Brain; Analgesics, Opioid; Neural Pathways; Animals; Male; Dronabinol; Prefrontal Cortex; Rats, Long-Evans; Cognition; Female; Dopamine; Rats; Reward; Ventral Tegmental Area; Dopaminergic Neurons; Amphetamine; Conditioning, Operant; Dose-Response Relationship, Drug; Rats; Male; Female; Animals; Ventral Tegmental Area; Dopaminergic Neurons; Clozapine; Designer Drugs; Rats; Male; Animals; Dronabinol; Endocannabinoids; Learning; Reward; Motivation; Mice; Female; Animals; Endocannabinoids; Dronabinol; Ovarian Reserve; Mice, Inbred C57BL; Ovarian Follicle; Mice; Male; Animals; Corticotropin-Releasing Hormone; Reward; Nucleus Accumbens; Basolateral Nuclear Complex; gamma-Aminobutyric Acid; Adolescent; Humans; Rats; Male; Female; Animals; Dronabinol; Rats, Sprague-Dawley; Cannabis; Mass Spectrometry; Aerosols; Female; Male; Animals; Mice; Dronabinol; Endocannabinoids; Tandem Mass Spectrometry; Cannabidiol; Chromatography, High Pressure Liquid; Brain; Arachidonic Acids; Polyunsaturated Alkamides; Adverse Childhood Experiences; Analgesics, Opioid; Anhedonia; Animals; Female; Humans; Male; Rats; Rats, Sprague-Dawley; Reward; Female; Male; Animals; Rats; Dronabinol; Microsomes; Anhedonia; Humans; Motivation; Reward"
