Faculty_Full_Name,Rank,Professor Type,Faculty,Faculty_Author,Faculty_Author_Affiliation,pmids,pub_mesh_terms
"Kong, Mei",prof,research,"Kong, Mei","Kong, Mei[Author]","Kong, Mei[Author] AND Irvine[Affiliation]","['39546568', '38095719', '37761958', '37682999', '37149550', '36914647', '36091163']","RNA, Long Noncoding; Female; Humans; Ovarian Neoplasms; Neoplastic Stem Cells; Cell Plasticity; Cell Line, Tumor; Gene Expression Regulation, Neoplastic; Humans; RNA, Long Noncoding; Sex Characteristics; Neoplasms; Female; Male; Epigenesis, Genetic; Animals; Gene Expression Regulation, Neoplastic; Sex Chromosomes; Animals; Mice; Cachexia; Colonic Neoplasms; Disease Models, Animal; Glutamine; Histone Code; Histone Methyltransferases; Histones; Ketoglutaric Acids; Tumor Microenvironment; Humans; Cell Line, Tumor; TWEAK Receptor; Humans; Vitamin B 6; Proteolysis; Peptide Hydrolases; Micronutrients; Vitamins; Humans; Peritoneal Neoplasms; Adenocarcinoma, Mucinous; Appendiceal Neoplasms; Pseudomyxoma Peritonei; Adenocarcinoma; Metabolic Networks and Pathways; Animals; Male; Mice; AMP-Activated Protein Kinases; Diet, High-Fat; Homeostasis; Mice, Inbred C57BL; Mice, Knockout; Phosphoprotein Phosphatases"
"Konieczny, Piotr",asst prof,research,"Konieczny, Piotr","Konieczny, Piotr[Author]","Konieczny, Piotr[Author] AND Irvine[Affiliation]",[],
"Kvon, Evgeny",asst prof,research,"Kvon, Evgeny","Kvon, Evgeny[Author]","Kvon, Evgeny[Author] AND Irvine[Affiliation]","['40205063', '39829783', '39762235', '39579740', '39143221', '38826394', '38658750', '38509385', '38105996', '36201590']","Animals; Enhancer Elements, Genetic; Mice; Humans; Otx Transcription Factors; MicroRNAs; Single-Cell Analysis; Autism Spectrum Disorder; Craniofacial Abnormalities; Genes, Reporter; Female; CRISPR-Cas Systems; Genetic Variation; Brain; Male; Alleles; Enhancer Elements, Genetic; Animals; Promoter Regions, Genetic; Humans; Mammals; Gene Expression Regulation, Developmental; Transcription Factors; Cohesins; CCCTC-Binding Factor; Chromatin; Chromosomal Proteins, Non-Histone; Cell Cycle Proteins; Animals; Humans; Africa; Animal Fins; Australia; DNA Transposable Elements; DNA, Intergenic; Enhancer Elements, Genetic; Evolution, Molecular; Extinction, Biological; Fishes; Gene Rearrangement; Genome; Genome Size; Hedgehog Proteins; Introns; Karyotype; Phylogeny; Piwi-Interacting RNA; South America; Time Factors; Zinc Fingers; Animals; Female; Male; Mice; Epigenomics; Evolution, Molecular; Gene Expression Profiling; Gene Expression Regulation, Developmental; Genome; Genomics; Homeodomain Proteins; Locomotion; Marsupialia; Phylogeny; Regulatory Sequences, Nucleic Acid; Transcription Factors; Phenotype; Humans; Animals; Mice; Enhancer Elements, Genetic; Promoter Regions, Genetic; Transcriptional Activation; Mammals; Chromatin; Animals; Brain Neoplasms; Chromosomes, Human, Pair 8; Glioma; Humans; Isocitrate Dehydrogenase; Mice; Mutation; Polymorphism, Single Nucleotide"
"LaFerla, Frank",prof,research,"LaFerla, Frank","LaFerla, Frank[Author]","LaFerla, Frank[Author] AND Irvine[Affiliation]","['40214496', '39844286', '39633006', '38906984', '38895362', '38575959', '38572865', '38523285', '38506634', '38460121', '38426371', '37961253', '37047718', '36803190', '36271704', '35140584']","CRISPR-Cas Systems; Humans; Endoribonucleases; Gene Expression Regulation; CRISPR-Associated Proteins; HEK293 Cells; Gene Editing; Animals; Microglia; Mice; Alzheimer Disease; Plaque, Amyloid; tau Proteins; Mice, Transgenic; Disease Models, Animal; Tauopathies; Brain; Apolipoproteins E; Humans; Animals; Female; Humans; Male; Mice; Alzheimer Disease; Amyloid beta-Peptides; Astrocytes; Brain; Disease Models, Animal; Glial Fibrillary Acidic Protein; NF-kappa B; Signal Transduction; Aged; Animals; Humans; Mice; Alzheimer Disease; Amyloid beta-Peptides; Amyloid beta-Protein Precursor; Cathepsin D; Disease Models, Animal; Mice, Knockout; Mice, Transgenic; tau Proteins; Tauopathies; Animals; Female; Humans; Male; Mice; Alzheimer Disease; Amyloid beta-Peptides; Disease Models, Animal; Gastrointestinal Microbiome; Gene Knock-In Techniques; Genotype; Metabolomics; Mice, Transgenic; Microbiota; Sex Characteristics; Animals; Mice; ATP-Binding Cassette Transporters; Plaque, Amyloid; Amyloid beta-Peptides; Alzheimer Disease; Mice, Transgenic; Neurons; Disease Models, Animal; Humans; Brain; Microglia; Phagocytosis; Amyloid beta-Protein Precursor; Animals; Mice; Alzheimer Disease; Amyloid beta-Peptides; Disease Models, Animal; Mice, Transgenic; Neuroglia; Plaque, Amyloid; Humans; Mice; Humans; Female; Animals; Alzheimer Disease; Plaque, Amyloid; Resilience, Psychological; Mice, Inbred C57BL; Microglia; Genetic Variation; Disease Models, Animal; Mice, Transgenic; Amyloid beta-Peptides; Animals; Mice; Cathepsin D; Down-Regulation; Fibroblasts; Tetracycline; Doxycycline; Response Elements; Mice; Animals; Alzheimer Disease; Cuprizone; RNA Splicing; Mutation; Plaque, Amyloid; Disease Models, Animal; Demyelinating Diseases; Microglia; Brain; Membrane Glycoproteins; Receptors, Immunologic; Humans; Animals; Mice; Amyloid beta-Peptides; Astrocytes; Myeloid Differentiation Factor 88; Proteomics; Alzheimer Disease"
"Lamb, Joleah",asst prof,research,"Lamb, Joleah","Lamb, Joleah[Author]","Lamb, Joleah[Author] AND Irvine[Affiliation]","['39964725', '39754287', '39680762', '38912782', '36746662']",Ecosystem; Aquaculture; Seaweed; Indonesia; Biodiversity; Conservation of Natural Resources; Macrocystis; Kelp; Conservation of Natural Resources; Humans; Ecosystem; Refugees
"Lander, Arthur",prof,research,"Lander, Arthur","Lander, Arthur[Author]","Lander, Arthur[Author] AND Irvine[Affiliation]","['40251197', '39989423', '39508736', '39463971', '39294560', '39048795', '38906093', '38507484', '38328163', '37380661', '37214859', '37115622', '37080161', '36993765', '36449618', '35614082', '35132245']","Animals; Epithelial Cells; Cell Competition; Drosophila melanogaster; Signal Transduction; Drosophila Proteins; Immunity, Innate; Neoplasms; Animals; Cell Proliferation; Mice; Face; Morphogenesis; Imaging, Three-Dimensional; Machine Learning; Embryo, Mammalian; Animals; Wings, Animal; Hedgehog Proteins; Drosophila Proteins; Body Patterning; Signal Transduction; Gene Expression Regulation, Developmental; Drosophila; Drosophila melanogaster; Models, Theoretical; Single-Cell Analysis; Humans; Sequence Analysis, RNA; Transcriptome; Algorithms; Gene Expression Profiling; Gene Regulatory Networks; Cohesins; Cell Cycle Proteins; Chromosomal Proteins, Non-Histone; Chromatin; Gene Expression Regulation; Promoter Regions, Genetic; Single-Cell Analysis; Saccharomyces cerevisiae; Transcriptome; Animals; Humans; Body Patterning; Embryonic Development; Homeostasis; Organoids; Aging; Animals; Mice; Cell Cycle Proteins; De Lange Syndrome; Gastrulation; Gene Expression; Mutation; Phenotype; Mice; Animals; Tyrosine Kinase Inhibitors; Protein Kinase Inhibitors; Drug Resistance, Neoplasm; Myelopoiesis; Fusion Proteins, bcr-abl; Mice, Transgenic; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Humans; Mass Behavior; Neoplasms; Communication; Humans; Female; Pregnancy; Animals; Mice; Transcriptome; Brain; Phenotype; Mutation; Heterozygote; Mammals; Cell Cycle Proteins; Proteins; Animals; Brain; Databases, Factual; Mice; X-Ray Microtomography; Animals; Animals, Genetically Modified; CHO Cells; Cricetulus; Green Fluorescent Proteins; HEK293 Cells; Humans; Metronidazole; Nitroreductases; Prodrugs; Protein Engineering; Recombinant Proteins; Retina; Vibrio; Zebrafish"
"Lane, Thomas",prof,research,"Lane, Thomas","Lane, Thomas[Author]","Lane, Thomas[Author] AND Irvine[Affiliation]","['40299553', '39988890', '38879499', '38714735', '38500398', '38099152', '37850241', '37352687', '37083696', '36248905', '35961320', '35025109']","Animals; Microglia; Integrases; Mice; Mice, Transgenic; Alzheimer Disease; Disease Models, Animal; Brain; Mice, Inbred C57BL; Plaque, Amyloid; Male; Female; Animals; Mice; Demyelinating Diseases; Murine hepatitis virus; Cystatins; Mice, Knockout; Coronavirus Infections; Mice, Inbred C57BL; Neuroinflammatory Diseases; Oxidation-Reduction; Disulfides; SARS-CoV-2; Coronavirus 3C Proteases; Cysteine; Crystallography, X-Ray; Catalytic Domain; Humans; Models, Molecular; Protein Multimerization; COVID-19; Animals; Muscle, Skeletal; Male; Adiposity; Mice; Mice, Inbred C57BL; Aging; Secretome; Stem Cells; Humans; COVID-19; Alzheimer Disease; Brain; SARS-CoV-2; Risk Factors; Pandemics; Mice; Animals; Microglia; Murine hepatitis virus; Remyelination; Neuroinflammatory Diseases; White Matter; Demyelinating Diseases; Coronavirus Infections; Mice, Inbred C57BL; Humans; Mice; Animals; T-Lymphocytes, Regulatory; CD4-Positive T-Lymphocytes; Multiple Sclerosis; Lymphocyte Activation; Neural Stem Cells; Forkhead Transcription Factors; CD4 Antigens; Animals; Central Nervous System; Chemokine CXCL1; Demyelinating Diseases; Humans; Matrix Metalloproteinase 9; Mice; Mice, Transgenic; Multiple Sclerosis; Murine hepatitis virus; Neutrophils; RNA, Messenger; Tetracyclines; White Matter; Activin Receptors; Animals; Central Nervous System; Encephalomyelitis, Autoimmune, Experimental; Mice; Mice, Inbred C57BL; Monomeric GTP-Binding Proteins; Multiple Sclerosis; Neuroinflammatory Diseases; Receptor Protein-Tyrosine Kinases; Signal Transduction; Animals; Bone Marrow Transplantation; Brain; Coronavirus Infections; Macrophages; Mice; Mice, Inbred C57BL; Microglia"
"Lara-Gonzalez, Pablo",asst prof,research,"Lara-Gonzalez, Pablo","Lara-Gonzalez, Pablo[Author]","Lara-Gonzalez, Pablo[Author] AND Irvine[Affiliation]","['39554051', '39105756', '38578284', '38370671', '37609212', '37137308', '36669109']","Animals; Caenorhabditis elegans; Caenorhabditis elegans Proteins; CDC2 Protein Kinase; Cdc20 Proteins; Cyclin B; Cyclin B1; Cyclin B2; Embryo, Nonmammalian; Mitosis; Phosphorylation; Animals; Caenorhabditis elegans; Caenorhabditis elegans Proteins; Cell Cycle Checkpoints; Cell Cycle Proteins; Kinetochores; Microtubule-Associated Proteins; Spindle Apparatus; Tetratricopeptide Repeat; Protein Serine-Threonine Kinases; Animals; Anaphase-Promoting Complex-Cyclosome; Caenorhabditis elegans; Cdc20 Proteins; Cell Cycle Proteins; Centers for Disease Control and Prevention, U.S.; Kinetochores; Mitosis; Spindle Apparatus; United States; Animals; Humans; Mice; Ependymoglial Cells; Mice, Knockout; Neocortex"
"Lee, Grace",asst prof,research,"Lee, Grace","Lee, Grace[Author]","Lee, Grace[Author] AND Irvine[Affiliation]","['40301993', '39843629', '39421451', '38745885', '37195865', '36708544', '36622567', '36406818', '35741724']","Humans; Male; Middle Aged; Female; Osteoporosis; Fabry Disease; Absorptiometry, Photon; Bone Diseases, Metabolic; Bone Density; Adult; Aged; Femur Neck; Animals; Fatty Acid-Binding Proteins; COVID-19; SARS-CoV-2; Humans; Virus Replication; Cricetinae; Lung; Adipocytes; COVID-19 Drug Treatment; Mice; Humans; Transcriptome; Skin; Keratinocytes; Epidermis; Cell Differentiation; Organoids; Humans; Asian; East Asian People; Health Status; Surveys and Questionnaires; Male; Humans; Female; Asian; Body Mass Index; Obesity, Abdominal; Waist-Hip Ratio; Obesity; Risk Factors; Sleep Apnea Syndromes; Amyotrophic Lateral Sclerosis; Frontotemporal Dementia; Humans; Mutation; Osteitis Deformans; Valosin Containing Protein"
"Lodoen, Melissa",prof,research,"Lodoen, Melissa","Lodoen, Melissa[Author]","Lodoen, Melissa[Author] AND Irvine[Affiliation]","['39814722', '39780244', '39255396', '38372637', '38206985', '37770433', '37633758', '36791673', '36445695']","Toxoplasma; Animals; Humans; Virulence Factors; Protozoan Proteins; Mice; Female; Macrophages; Toxoplasmosis; THP-1 Cells; Cell Death; Receptor-Interacting Protein Serine-Threonine Kinases; Virulence; NF-kappa B; Necroptosis; Interleukin-1beta; Mice, Inbred C57BL; Host-Parasite Interactions; Transcription Factor RelA; Animals; Mice; Blood-Brain Barrier; Cerebrovascular Circulation; Toxoplasma; Mice, Inbred C57BL; Blood Coagulation; Endothelial Cells; Toxoplasmosis; Female; Disease Models, Animal; Intercellular Adhesion Molecule-1; Animals; Alzheimer Disease; Mice; Brain; Disease Models, Animal; Mice, Transgenic; Toxoplasma; Amyloid beta-Peptides; Plaque, Amyloid; Toxoplasmosis; Female; Humans; Caspase 1; Caspase 8; Gasdermins; Inflammasomes; Interleukin-1beta; Monocytes; NLR Family, Pyrin Domain-Containing 3 Protein; Toxoplasma; Toxoplasmosis; Animals; Humans; Mice; Astrocytes; Brain; Chemokine CCL2; Mice, Inbred C57BL; Mice, Knockout; Toxoplasma; Toxoplasmosis; Female; Animals; Mice; Toxoplasma; Gene Regulatory Networks; Neoplasm Recurrence, Local; Brain; Protozoan Proteins; Humans; Monocytes; Toxoplasma; Cytokines; Toxoplasmosis; Humans; Toxoplasma; Capparis; Caspases; Signal Transduction; Inflammation; Protozoan Proteins; Mice; Animals; Toxoplasma; CD8-Positive T-Lymphocytes; Brain; Central Nervous System; Monocytes"
"Long, Anthony",prof,research,"Long, Anthony","Long, Anthony[Author]","Long, Anthony[Author] AND Irvine[Affiliation]","['37624016', '37146087', '36366952', '36250804', '35143664', '35100395']","Male; Animals; Female; Chromatin; Drosophila melanogaster; Chromatin Immunoprecipitation Sequencing; Genotype; Genetic Variation; High-Throughput Nucleotide Sequencing; Saccharomyces cerevisiae; Adaptation, Biological; Haplotypes; Genetics, Population; Reproduction, Asexual; Genome, Fungal; Multifactorial Inheritance; Animals; Drosophila melanogaster; Quantitative Trait Loci; Malathion; Genome-Wide Association Study; Insecticides; Insecticide Resistance; Animals; Breeding; Deer; Genome-Wide Association Study; Humans; Multifactorial Inheritance; Peromyscus; Phenotype; Polymorphism, Single Nucleotide; Animals; Chromosome Mapping; Drosophila; Drosophila melanogaster; Phenotype; Quantitative Trait Loci"
"Luo, Ray",prof,research,"Luo, Ray","Luo, Ray[Author]","Luo, Ray[Author] AND Irvine[Affiliation]","['40194962', '40108759', '39865620', '39772516', '39572544', '39138383', '38892388', '38615193', '38512104', '38502776', '38394331', '37967076', '37805934', '37782231', '37676646', '37652024', '37441805', '37176015', '36715303', '36696564']","Static Electricity; Solvents; Dimerization; Normal Distribution; Solutions; Humans; Protein Serine-Threonine Kinases; Hippo Signaling Pathway; Neoplasms; Signal Transduction; Mutation, Missense; Neurofibromin 2; Loss of Function Mutation; Cell Line, Tumor; Animals; Head and Neck Neoplasms; Mutation; Mice; Adaptor Proteins, Signal Transducing; Oxidation-Reduction; NADP; Escherichia coli; NAD; Nicotinamide Mononucleotide; Oxidoreductases; Glucose 1-Dehydrogenase; Models, Molecular; Biocatalysis; Humans; Allosteric Regulation; Allosteric Site; Antineoplastic Agents; Binding Sites; Molecular Dynamics Simulation; Mutation; Neoplasms; Protein Binding; Protein Tyrosine Phosphatase, Non-Receptor Type 11; Intrinsically Disordered Proteins; Protein Conformation; Models, Molecular; Polymers; Adenosine Triphosphate; Phase Separation; Artificial Cells; Bioreactors; Entropy; Amino Acids; Static Electricity; Proteins; Models, Molecular; Peptides; Amines; Humans; Gas Chromatography-Mass Spectrometry; Carcinoma, Hepatocellular; Lung Neoplasms; Volatile Organic Compounds; Liver Neoplasms; Early Detection of Cancer; Biomarkers; Liver Cirrhosis; Proteome; Proteomics; Cell Line; Drug Discovery; Pyrimidines; Proteins; Nucleic Acids; Carbohydrates; Humans; Protein Binding; Drug Discovery; Proteins; Molecular Dynamics Simulation; Drug Delivery Systems; Computational Biology; Models, Molecular; Static Electricity; Peptides; Water; Amino Acids"
"Lur, Gyorgy",assoc prof,research,"Lur, Gyorgy","Lur, Gyorgy[Author]","Lur, Gyorgy[Author] AND Irvine[Affiliation]","['39100726', '37821229', '37293628', '37286343', '36087582', '35027407']","Male; Adolescent; Female; Humans; Nicotine; Nicotinic Agonists; Habenula; Electronic Nicotine Delivery Systems; Synaptic Transmission; Cholinergic Neurons; Receptors, Purinergic P2; Adenosine Triphosphate; Animals; Mice; Software; Neurosciences; Reward; Feedback; Pyramidal Cells; Action Potentials; Synapses; Parietal Lobe; Animals; Brain; Cognition; Humans; Mice; Movement; Neurons; Psychomotor Performance; Wakefulness"
"Lutterschmidt, Deborah",prof,research,"Lutterschmidt, Deborah","Lutterschmidt, Deborah[Author]","Lutterschmidt, Deborah[Author] AND Irvine[Affiliation]",['36805608'],Brain; Seasons; Animals
"MacGregor, Grant",prof,research,"MacGregor, Grant","MacGregor, Grant[Author]","MacGregor, Grant[Author] AND Irvine[Affiliation]","['39988890', '39844286', '39752523', '39103533', '39071335', '38895362', '38879499', '38572865', '38506634', '38460121', '38426371', '38106071', '37891673', '36803190', '35140584']","Animals; Microglia; Integrases; Mice; Mice, Transgenic; Alzheimer Disease; Disease Models, Animal; Brain; Mice, Inbred C57BL; Plaque, Amyloid; Male; Female; Animals; Microglia; Mice; Alzheimer Disease; Plaque, Amyloid; tau Proteins; Mice, Transgenic; Disease Models, Animal; Tauopathies; Brain; Apolipoproteins E; Humans; Animals; Mice; Reactive Oxygen Species; T-Lymphocytes, Regulatory; DNA, Mitochondrial; Mice, Inbred C57BL; Oxidative Phosphorylation; Mitochondria; Signal Transduction; Disease Progression; Heart Transplantation; Animals; Alzheimer Disease; Receptors, Immunologic; Mice; Membrane Glycoproteins; Mice, Transgenic; Neurons; Transcriptome; Microglia; Brain; Disease Models, Animal; Plaque, Amyloid; Mutation; Astrocytes; Single-Cell Analysis; Humans; Mutation, Missense; Receptor, trkB; Brain-Derived Neurotrophic Factor; Gene Expression Profiling; Male; Animals; Mice; Demyelinating Diseases; Murine hepatitis virus; Cystatins; Mice, Knockout; Coronavirus Infections; Mice, Inbred C57BL; Neuroinflammatory Diseases; Animals; Female; Humans; Male; Mice; Alzheimer Disease; Amyloid beta-Peptides; Disease Models, Animal; Gastrointestinal Microbiome; Gene Knock-In Techniques; Genotype; Metabolomics; Mice, Transgenic; Microbiota; Sex Characteristics; Animals; Mice; ATP-Binding Cassette Transporters; Plaque, Amyloid; Amyloid beta-Peptides; Alzheimer Disease; Mice, Transgenic; Neurons; Disease Models, Animal; Humans; Brain; Microglia; Phagocytosis; Amyloid beta-Protein Precursor; Animals; Mice; Alzheimer Disease; Amyloid beta-Peptides; Disease Models, Animal; Mice, Transgenic; Neuroglia; Plaque, Amyloid; Humans; Mice; Humans; Female; Animals; Alzheimer Disease; Plaque, Amyloid; Resilience, Psychological; Mice, Inbred C57BL; Microglia; Genetic Variation; Disease Models, Animal; Mice, Transgenic; Amyloid beta-Peptides; Animals; Mice; Adenosine Triphosphate; Diabetes Mellitus; Diabetic Cardiomyopathies; Energy Metabolism; Insulin; Mice, Transgenic; Mitochondria, Heart; Myocardium; Phosphatidylinositol 3-Kinases; Proto-Oncogene Proteins c-akt; Mice; Animals; Alzheimer Disease; Cuprizone; RNA Splicing; Mutation; Plaque, Amyloid; Disease Models, Animal; Demyelinating Diseases; Microglia; Brain; Membrane Glycoproteins; Receptors, Immunologic"
"Mahler, Stephen",prof,research,"Mahler, Stephen","Mahler, Stephen[Author]","Mahler, Stephen[Author] AND Irvine[Affiliation]","['40199197', '40127192', '39658631', '39190156', '38826339', '37530882', '37034819', '36933028', '36912754', '36841826', '36481259', '36367975', '36156918', '35705547', '35353551', '35156184']","Animals; Dronabinol; Morphine; Male; Ventral Tegmental Area; Brain; Analgesics, Opioid; Neural Pathways; Animals; Male; Dronabinol; Prefrontal Cortex; Rats, Long-Evans; Cognition; Female; Dopamine; Rats; Reward; Ventral Tegmental Area; Dopaminergic Neurons; Amphetamine; Conditioning, Operant; Dose-Response Relationship, Drug; Rats; Male; Female; Animals; Ventral Tegmental Area; Dopaminergic Neurons; Clozapine; Designer Drugs; Rats; Male; Animals; Dronabinol; Endocannabinoids; Learning; Reward; Motivation; Mice; Female; Animals; Endocannabinoids; Dronabinol; Ovarian Reserve; Mice, Inbred C57BL; Ovarian Follicle; Mice; Male; Animals; Corticotropin-Releasing Hormone; Reward; Nucleus Accumbens; Basolateral Nuclear Complex; gamma-Aminobutyric Acid; Adolescent; Humans; Rats; Male; Female; Animals; Dronabinol; Rats, Sprague-Dawley; Cannabis; Mass Spectrometry; Aerosols; Female; Male; Animals; Mice; Dronabinol; Endocannabinoids; Tandem Mass Spectrometry; Cannabidiol; Chromatography, High Pressure Liquid; Brain; Arachidonic Acids; Polyunsaturated Alkamides; Adverse Childhood Experiences; Analgesics, Opioid; Anhedonia; Animals; Female; Humans; Male; Rats; Rats, Sprague-Dawley; Reward; Female; Male; Animals; Rats; Dronabinol; Microsomes; Anhedonia; Humans; Motivation; Reward"
"Martinez, Christopher",asst prof,research,"Martinez, Christopher","Martinez, Christopher[Author]","Martinez, Christopher[Author] AND Irvine[Affiliation]","['39906576', '38964850', '36252009', '35881791', '34989395']","Animals; Biomechanical Phenomena; Feeding Behavior; Jaw; Predatory Behavior; Perciformes; Mandible; Animals; Carbon; Ecosystem; Fishes; Phylogeny; Water; Animals; Biological Evolution; Coral Reefs; Extinction, Biological; Feeding Behavior; Fishes; Male; Somatotypes; Animals; Biomechanical Phenomena; Feeding Behavior; Fishes; Jaw; Mandible; Predatory Behavior"
"Martiny, Adam",prof,research,"Martiny, Adam","Martiny, Adam[Author]","Martiny, Adam[Author] AND Irvine[Affiliation]","['40280934', '40084855', '39903118', '38899067', '38740930', '38661581', '38513256', '38498438', '37798477', '37454234', '36965002', '36407846', '36369310', '36273241', '35014872']","Microbiota; Biodiversity; Climate Change; Seawater; Seasons; Ecosystem; California; El Nino-Southern Oscillation; Biomass; Oceans and Seas; Prochlorococcus; Carbon; Bacteria; Phosphates; Nitrates; Oceans and Seas; Phytoplankton; Seawater; Food Chain; Nitrogen Fixation; Metagenomics; Bacteria; Metagenome; Microbiota; Uncertainty; Escherichia coli; Anti-Bacterial Agents; Drug Resistance, Bacterial; Microbial Sensitivity Tests; Humans; Genetic Variation; Escherichia coli Infections; Metagenomics; Drug Resistance, Multiple, Bacterial; Ecosystem; Synechococcus; Proteome; Bayes Theorem; Temperature; Nitrogen; Synechococcus; Temperature; Phytoplankton; Nutrients; Carbon; Nitrogen; Life History Traits; Soil; Soil Microbiology; Ecosystem; Bacteria; Phylogeography; Phylogeny; Prochlorococcus; Seawater; Ecotype; Ecotype; Prochlorococcus; Seawater; Indian Ocean; Metagenome; Microbiota"
"Martiny, Jennifer",prof,research,"Martiny, Jennifer","Martiny, Jennifer[Author]","Martiny, Jennifer[Author] AND Irvine[Affiliation]","['39692482', '39495619', '38742890', '38740930', '38584646', '38506671', '37798477', '37747204', '37674721', '37268699', '36965002', '36731905', '36690342', '36629415', '36308707', '35778440']","Soil Microbiology; Microbiota; Climate Change; Carbon Sequestration; Soil; Carbon; Greenhouse Gases; Ecosystem; Droughts; Soil Microbiology; Bacteria; Ecosystem; Plant Leaves; Metagenome; Stress, Physiological; Soil; Drought Resistance; Dietary Fiber; Humans; Gastrointestinal Microbiome; RNA, Ribosomal, 16S; Feces; Bacteria; Phylogeny; Metagenomics; Bacteria; Metagenome; Microbiota; Uncertainty; Soil Microbiology; Microbiota; Soil; Bacteria; Plant Leaves; Life History Traits; Soil; Soil Microbiology; Ecosystem; Bacteria; Wildfires; Microbiota; Mycobiome; Bacteria; Soil Microbiology; Humans; Dietary Fiber; Gastrointestinal Microbiome; Microbiota; Reproducibility of Results; RNA, Ribosomal, 16S; Ecosystem; Nitrogen Fixation; Cyanobacteria; Desert Climate; Soil; RNA, Ribosomal, 16S; Soil Microbiology; Microbiota; Nitrogen; Humans; Ecosystem; Plasmids; Bacteria; Anti-Bacterial Agents; Gene Transfer, Horizontal; Ecosystem; Biodiversity; Bacteria; Microbiota; Plant Leaves; Soil; Soil Microbiology"
"McHenry, Matthew",prof,research,"McHenry, Matthew","McHenry, Matthew[Author]","McHenry, Matthew[Author] AND Irvine[Affiliation]","['39963080', '39665282', '39109661', '39104305', '38738313', '38631344', '38059428', '37339652', '36757892', '36637450', '35919997']","Animals; Biomechanical Phenomena; Starfish; Phototaxis; Light; Animals; Water Movements; Animal Communication; Lateral Line System; Biomechanical Phenomena; Social Behavior; Swimming; Animals; Biomechanical Phenomena; Starfish; Models, Biological; Locomotion; Animals; Biomechanical Phenomena; Oligochaeta; Models, Biological; Scyphozoa; Skeleton; Animals; Locomotion; Robotics; Biomechanical Phenomena; Starfish; Models, Biological; Gait; Animals; Genomics; Environment; Animals; Predatory Behavior; Perciformes; Animals; Zebrafish; Larva; Predatory Behavior; Escape Reaction; Biomechanical Phenomena; Biomechanical Phenomena; Technology; Biology; Animals; Fishes; Perciformes; Predatory Behavior; Swimming"
"McNaughton, Bruce",prof,research,"McNaughton, Bruce","McNaughton, Bruce[Author]","McNaughton, Bruce[Author] AND Irvine[Affiliation]","['39676610', '39631505', '39364682', '38947919', '38942472', '38298796', '38012135', '37989581', '37126447', '37090599', '36756366', '36645126', '36057661', '35970912', '35814496', '35759669', '35709696', '35512636']","History, 20th Century; Neurons; Animals; Hippocampus; History, 21st Century; Humans; Memory; Neurosciences; Learning; Animals; Hippocampus; Nesting Behavior; Female; Male; Mice; Mice, Inbred C57BL; Animals; Psilocybin; Hallucinogens; Neurons; Mice; Male; Mice, Inbred C57BL; Ketanserin; Serotonin 5-HT2 Receptor Antagonists; Gyrus Cinguli; Space Perception; Animals; Neocortex; Male; Hippocampus; Mice; Female; Cues; Mice, Inbred C57BL; Space Perception; Spatial Navigation; Neurons; Mice, Transgenic; Male; Mice; Animals; Hippocampus; Neurons; Memory, Episodic; Place Cells; Cues; Software; Cognition; Electrophysiological Phenomena; Electrophysiology; Spatial Navigation; Mice; Animals; Sleep, REM; Electroencephalography; Sleep; Sleep, Slow-Wave; Auditory Cortex; Mice; Animals; Neocortex; Wakefulness; Hippocampus; Sleep; Neurons; Default Mode Network; Hippocampus; Humans; Neocortex; Humans; Learning; Models, Neurological; Neocortex; Neural Networks, Computer; Systems Theory; Action Potentials; Brain; Learning; Models, Neurological; Neurons; Action Potentials; Animals; Cognition; Hippocampus; Maze Learning; Neurons; Rats; Reward"
"McNulty, Reginald",asst prof,research,"McNulty, Reginald","McNulty, Reginald[Author]","McNulty, Reginald[Author] AND Irvine[Affiliation]","['39770326', '39104412', '39040024', '37308785', '37253813', '36511652']","Bacteriophage P22; Endodeoxyribonucleases; Protein Binding; Virus Assembly; Protein Subunits; DNA, Viral; Microscopy, Electron, Transmission; Mass Spectrometry; Capsid; Proteins; Nucleic Acids; Humans; RNA; Protein Binding; DNA; Humans; Clostridium acetobutylicum; DNA Glycosylases; DNA, Mitochondrial; Inflammasomes; NLR Family, Pyrin Domain-Containing 3 Protein; Signal Transduction; Cryoelectron Microscopy; Signal-To-Noise Ratio; Imaging, Three-Dimensional; Drug Discovery"
"Metherate, Raju",prof,research,"Metherate, Raju","Metherate, Raju[Author]","Metherate, Raju[Author] AND Irvine[Affiliation]",['39553292'],"Animals; Auditory Cortex; Receptors, Nicotinic; Mice; Mice, Transgenic; Male; Mice, Inbred C57BL; Nicotine; Female; Acoustic Stimulation; Mice, Knockout; Interneurons; Nicotinic Agonists"
